id,address,bedrooms,bathrooms,sq_ft,year_built,for_sale,current_price,zillow_url,last_modified
2446,"5845 Kleberg Trl, Austin, TX 78747",4,6,2432,2013,TRUE,399000,https://www.zillow.com/homedetails/5845-Kleberg-Trl-Austin-TX-78747/119619199_zpid/,55:15.0
2447,"5700 Wynona Ave, Austin, TX 78756",3,6,1557,1949,TRUE,775000,https://www.zillow.com/homedetails/5700-Wynona-Ave-Austin-TX-78756/29414660_zpid/,55:16.2
2448,"4614 Esper Ln, Austin, TX 78725",3,6,1100,2015,TRUE,260000,https://www.zillow.com/homedetails/4614-Esper-Ln-Austin-TX-78725/2072381176_zpid/,55:17.2
2449,"4109 Ridgeline Trl, Austin, TX 78731",78731,6,1789,1979,TRUE,499000,https://www.zillow.com/homedetails/4109-Ridgeline-Trl-Austin-TX-78731/29356452_zpid/,55:18.3
2450,"600 Swanson Cv, Austin, TX 78748",3,6,1436,1996,TRUE,320000,https://www.zillow.com/homedetails/600-Swanson-Cv-Austin-TX-78748/29510960_zpid/,55:19.1
2451,"6421 Westside Dr, Austin, TX 78731",3,,2302,1975,TRUE,775000,https://www.zillow.com/homedetails/6421-Westside-Dr-Austin-TX-78731/29347813_zpid/,55:20.1
2452,"8702 Crest Ridge Cir, Austin, TX 78750",2,6,1809,1972,TRUE,640000,https://www.zillow.com/homedetails/8702-Crest-Ridge-Cir-Austin-TX-78750/29373936_zpid/,55:21.3
2453,"8825 Honeysuckle Trl, Austin, TX 78759",3,6,1324,1981,TRUE,340000,https://www.zillow.com/homedetails/8825-Honeysuckle-Trl-Austin-TX-78759/29433466_zpid/,55:22.4
2454,"9420 Jenaro Ct, Austin, TX 78726",4,6,2669,2001,TRUE,695000,https://www.zillow.com/homedetails/9420-Jenaro-Ct-Austin-TX-78726/58300225_zpid/,55:23.2
2455,"5512 Hudson Holw, Austin, TX 78759",1,6,3500,1999,TRUE,1000000,https://www.zillow.com/homedetails/5512-Hudson-Holw-Austin-TX-78759/29363913_zpid/,55:24.2
2456,"4711 Blueberry Trl, Austin, TX 78723",5,6,1945,1973,TRUE,425000,https://www.zillow.com/homedetails/4711-Blueberry-Trl-Austin-TX-78723/29397753_zpid/,55:25.2
2457,"12008 Morning View Dr, Del Valle, TX 78617",0,0,,12008,TRUE,90000,https://www.zillow.com/homedetails/12008-Morning-View-Dr-Del-Valle-TX-78617/70342349_zpid/,55:26.2
2458,"2109 Carlson Dr #61C, Austin, TX 78741",3,6,1567,2013,TRUE,449900,https://www.zillow.com/homedetails/2109-Carlson-Dr-61C-Austin-TX-78741/121658503_zpid/,55:27.2
2459,"8216 Alum Rock Dr, Austin, TX 78747",3,6,1452,2002,TRUE,280000,https://www.zillow.com/homedetails/8216-Alum-Rock-Dr-Austin-TX-78747/58311890_zpid/,55:28.3
2460,"5600 Gloucester Ln, Austin, TX 78723",3,6,1915,1964,TRUE,650000,https://www.zillow.com/homedetails/5600-Gloucester-Ln-Austin-TX-78723/29402556_zpid/,55:29.4
2461,"1702 Corona Dr, Austin, TX 78723",3,6,1647,1958,TRUE,620000,https://www.zillow.com/homedetails/1702-Corona-Dr-Austin-TX-78723/29402094_zpid/,55:30.3
2462,"3916 Amy Cir, Austin, TX 78759",4,6,1802,1977,TRUE,800000,https://www.zillow.com/homedetails/3916-Amy-Cir-Austin-TX-78759/29430487_zpid/,55:31.3
