id,address,bedrooms,bathrooms,sq_ft,year_built,for_sale,current_price,zillow_url,last_modified
587,"44 East Ave #4105, Austin, TX 78701",3,6,1594,2020,TRUE,1312662,https://www.zillow.com/homedetails/44-East-Ave-4105-Austin-TX-78701/2072645818_zpid/,09:07.7
588,"800 Embassy Dr APT 608, Austin, TX 78702",3,6,2056,2018,TRUE,1550000,https://www.zillow.com/homedetails/800-Embassy-Dr-APT-608-Austin-TX-78702/305425780_zpid/,09:08.7
589,"4014 Diligence Dr, Austin, TX 78731",63,6,3023,2021,TRUE,1419424,https://www.zillow.com/homedetails/4014-Diligence-Dr-Austin-TX-78731/2075245053_zpid/,09:09.7
590,"The Winedale (880) Plan, Copperstone",4,6,2585,2021,TRUE,465990,https://www.zillow.com/community/copperstone/2072343031_zpid/,09:10.6
591,"1402 Valleyridge Dr, Austin, TX 78704",0,6,1554,1971,TRUE,949990,https://www.zillow.com/homedetails/1402-Valleyridge-Dr-Austin-TX-78704/29476884_zpid/,09:11.6
592,"48 East Ave #2207, Austin, TX 78701",2021,6,699,2021,TRUE,563000,https://www.zillow.com/homedetails/48-East-Ave-2207-Austin-TX-78701/2073087158_zpid/,09:12.6
593,"106 Comal St, Austin, TX 78702",420000,,,106,TRUE,420000,https://www.zillow.com/homedetails/106-Comal-St-Austin-TX-78702/29384349_zpid/,09:13.6
594,"48 East Ave #1706, Austin, TX 78701",2021,6,740,2021,TRUE,558000,https://www.zillow.com/homedetails/48-East-Ave-1706-Austin-TX-78701/2073087548_zpid/,09:14.5
595,"4911 Ledesma Rd, Austin, TX 78721",0,0,,4911,TRUE,325000,https://www.zillow.com/homedetails/4911-Ledesma-Rd-Austin-TX-78721/144966766_zpid/,09:15.2
596,"98 San Jacinto Blvd #905, Austin, TX 78701",2,6,1471,2010,TRUE,1200000,https://www.zillow.com/homedetails/98-San-Jacinto-Blvd-905-Austin-TX-78701/110539264_zpid/,09:16.3
597,"800 Embassy Dr APT 209, Austin, TX 78702",1,6,866,2018,TRUE,439999,https://www.zillow.com/homedetails/800-Embassy-Dr-APT-209-Austin-TX-78702/305425772_zpid/,09:17.3
